distribution_id,distribution_date,location_id,beneficiary_id,item_category,quantity,est_value_usd
176,2025-03-05,4,1302,Flour (kg),6.9,43.59
177,2025-05-13,1,1316,Pulses (kg),11.2,72.45
178,2025-02-27,2,1885,Rice (kg),3.9,12.24
179,2024-12-12,6,1624,Rice (kg),1.9,6.84
180,2025-06-28,4,1107,Rice (kg),6.3,21.05
181,2025-04-06,2,1877,Cooking Oil (L),6.7,43.3
182,2025-06-15,6,1889,Flour (kg),5.3,33.9
183,2025-01-23,3,1675,Hygiene Kit,5.0,17.75
184,2025-02-17,4,59,Pulses (kg),2.6,17.14
185,2025-06-04,4,1048,Hygiene Kit,3.0,19.63
186,2025-08-08,2,762,Cooking Oil (L),4.5,26.93
187,2025-03-22,6,1541,Flour (kg),0.8,3.51
188,2024-12-31,3,1308,Rice (kg),6.8,36.14
189,2025-03-31,3,576,Flour (kg),1.6,8.37
190,2025-03-15,2,903,Pulses (kg),3.4,14.07
191,2025-05-05,3,546,Flour (kg),1.6,9.08
192,2025-06-08,2,138,Pulses (kg),13.8,90.8
193,2024-12-30,2,532,Hygiene Kit,3.0,9.05
194,2025-04-10,4,1687,Rice (kg),8.6,30.87
195,2025-02-02,3,1773,Hygiene Kit,5.0,26.39
196,2024-12-17,3,908,Pulses (kg),6.4,29.95
197,2025-06-13,3,511,Hygiene Kit,3.0,19.87
198,2025-04-10,3,1654,Flour (kg),4.1,14.83
199,2025-04-18,5,1,Pulses (kg),1.0,4.15
200,2025-01-04,2,267,Medicine Pack,11.0,42.35
201,2025-08-27,3,274,Pulses (kg),6.0,30.9
202,2025-01-26,3,1118,Flour (kg),11.0,72.37
203,2025-03-02,5,390,Rice (kg),3.6,17.93
204,2024-11-01,3,795,Water (L),6.3,35.95
205,2024-12-14,2,1234,Flour (kg),5.0,30.5
206,2025-01-15,5,1686,Pulses (kg),3.7,17.43
207,2025-05-10,3,1060,Medicine Pack,4.0,15.89
208,2024-11-17,5,83,Hygiene Kit,4.0,26.32
209,2025-01-12,6,1567,Rice (kg),3.5,21.71
210,2025-08-28,4,1319,Flour (kg),20.7,74.1
211,2025-07-24,5,1189,Pulses (kg),7.4,49.59
212,2024-12-20,2,537,Cooking Oil (L),5.8,34.55
213,2025-05-25,2,852,Hygiene Kit,5.0,33.75
214,2025-08-31,3,708,Rice (kg),5.9,23.14
215,2025-01-31,5,480,Pulses (kg),3.0,20.67
216,2024-12-19,2,524,Pulses (kg),5.3,32.4
217,2025-06-10,2,1581,Rice (kg),3.4,17.47
218,2025-05-27,4,1940,Hygiene Kit,12.0,51.7
219,2024-11-10,2,1636,Rice (kg),14.6,80.34
220,2024-09-24,2,1660,Cooking Oil (L),5.6,21.45
221,2025-02-01,2,264,Flour (kg),4.0,23.48
222,2025-01-08,3,1364,Rice (kg),14.2,65.75
223,2025-04-17,4,223,Flour (kg),2.9,10.16
224,2025-07-05,5,427,Flour (kg),3.2,20.55
225,2025-03-16,4,1315,Hygiene Kit,2.0,6.03
226,2025-06-12,6,1454,Pulses (kg),6.8,25.81
227,2025-05-28,6,1895,Rice (kg),1.7,6.81
228,2025-04-13,2,123,Cooking Oil (L),3.8,20.02
229,2025-05-22,1,320,Hygiene Kit,1.0,6.41
230,2025-06-03,6,1568,Flour (kg),4.9,25.82
231,2025-01-02,4,71,Water (L),4.3,13.51
232,2025-02-28,2,1554,Flour (kg),14.4,89.89
233,2024-10-08,6,308,Rice (kg),1.4,8.91
234,2025-05-16,4,906,Rice (kg),11.0,44.85
235,2025-02-08,1,1896,Cooking Oil (L),4.4,28.8
236,2025-07-26,6,1629,Rice (kg),2.8,9.81
237,2024-11-14,2,1459,Pulses (kg),4.9,28.63
238,2025-08-18,5,419,Water (L),5.0,34.94
239,2024-11-13,3,29,Water (L),3.4,20.22
240,2024-10-10,6,1122,Hygiene Kit,2.0,11.81
241,2025-04-11,1,1862,Rice (kg),3.8,24.07
242,2025-02-19,2,212,Pulses (kg),3.6,15.71
243,2024-12-14,3,260,Hygiene Kit,17.0,60.13
244,2024-11-09,4,1571,Cooking Oil (L),4.2,19.37
245,2025-08-14,3,556,Flour (kg),1.4,8.71
246,2025-05-15,5,1890,Pulses (kg),16.7,71.8
247,2024-11-23,1,1452,Rice (kg),2.4,16.3
248,2024-09-28,3,1220,Cooking Oil (L),4.1,20.16
249,2025-05-31,3,165,Medicine Pack,5.0,21.02
250,2025-06-26,6,738,Water (L),18.0,119.69
251,2025-06-19,4,1606,Hygiene Kit,1.0,4.08
252,2025-04-11,5,407,Pulses (kg),4.7,23.44
253,2024-09-28,3,1982,Flour (kg),2.4,15.06
254,2025-06-27,6,868,Hygiene Kit,2.0,9.72
255,2025-04-04,6,459,Pulses (kg),4.7,30.83
256,2025-07-21,4,966,Pulses (kg),1.5,6.67
257,2025-05-02,6,201,Cooking Oil (L),2.8,17.76
258,2024-10-29,2,373,Flour (kg),4.2,25.29
259,2025-06-04,5,1135,Cooking Oil (L),12.4,66.88
260,2025-02-23,5,942,Rice (kg),11.2,46.82
261,2025-07-14,6,761,Pulses (kg),7.9,29.82
262,2025-01-07,5,1738,Rice (kg),10.0,62.88
263,2025-03-09,2,1594,Flour (kg),18.9,103.12
264,2024-12-13,6,961,Flour (kg),8.8,59.48
265,2025-08-20,3,1243,Hygiene Kit,2.0,11.34
266,2025-04-27,6,779,Flour (kg),4.0,19.47
267,2025-03-10,4,641,Rice (kg),16.7,100.3
268,2025-06-29,3,794,Flour (kg),5.8,20.83
269,2024-12-17,1,517,Medicine Pack,10.0,60.68
270,2024-09-24,6,1704,Medicine Pack,4.0,19.38
271,2025-08-08,1,949,Flour (kg),10.9,63.1
272,2024-10-01,3,1612,Flour (kg),9.7,38.86
273,2025-07-14,5,1303,Flour (kg),4.4,18.6
274,2025-08-16,6,208,Hygiene Kit,8.0,25.12
275,2025-02-17,2,1901,Pulses (kg),8.7,28.86
276,2025-03-14,4,1198,Flour (kg),6.8,41.27
277,2024-12-22,5,722,Rice (kg),2.7,8.92
278,2025-08-26,4,1612,Flour (kg),2.2,12.58
279,2024-12-27,2,1333,Flour (kg),4.5,20.17
280,2025-04-10,6,727,Rice (kg),2.8,13.87
281,2025-03-14,6,641,Pulses (kg),4.9,19.69
282,2024-09-18,2,198,Hygiene Kit,9.0,40.78
283,2025-03-09,1,568,Cooking Oil (L),5.2,32.61
284,2025-04-30,4,1038,Water (L),13.6,54.02
285,2025-04-01,6,928,Water (L),4.7,32.35
286,2025-01-27,2,1535,Hygiene Kit,10.0,52.68
287,2025-03-29,2,1348,Rice (kg),12.2,63.5
288,2025-07-18,1,505,Cooking Oil (L),0.8,4.6
289,2025-07-27,3,504,Flour (kg),6.6,20.85
290,2025-04-23,2,1339,Water (L),7.7,24.7
291,2025-08-10,6,241,Rice (kg),14.5,65.19
292,2024-12-17,2,1469,Pulses (kg),12.1,76.12
293,2025-05-24,6,1205,Rice (kg),1.9,6.24
294,2025-06-19,1,441,Cooking Oil (L),4.5,22.17
295,2025-08-03,1,882,Rice (kg),5.3,34.94
296,2024-12-06,2,23,Flour (kg),8.7,58.06
297,2025-04-13,2,96,Flour (kg),13.5,67.39
298,2024-11-08,3,2000,Pulses (kg),0.7,4.04
299,2024-11-27,3,1701,Water (L),6.4,24.94
300,2024-10-22,6,665,Cooking Oil (L),5.0,15.85
301,2025-01-27,3,1226,Medicine Pack,3.0,14.73
302,2025-06-12,5,1525,Medicine Pack,2.0,11.14
303,2025-02-08,6,298,Cooking Oil (L),9.4,49.02
304,2024-12-21,2,882,Rice (kg),12.9,52.87
305,2025-05-18,3,926,Pulses (kg),2.3,10.93
306,2025-03-17,4,1561,Rice (kg),1.7,5.1
307,2025-08-15,2,1698,Flour (kg),11.7,35.89
308,2025-07-05,4,568,Cooking Oil (L),8.0,33.95
309,2024-11-30,6,805,Rice (kg),8.4,43.14
310,2025-05-03,2,661,Flour (kg),2.0,9.15
311,2025-07-24,4,979,Pulses (kg),3.9,13.1
312,2025-04-26,6,1102,Pulses (kg),4.4,27.71
313,2024-12-01,2,75,Flour (kg),7.2,21.95
314,2024-10-26,6,827,Flour (kg),3.4,12.6
315,2025-01-12,2,1359,Medicine Pack,4.0,19.92
316,2025-01-16,5,1246,Flour (kg),1.8,9.52
317,2025-02-11,5,1453,Hygiene Kit,11.0,55.18
318,2024-09-22,3,254,Pulses (kg),3.0,16.87
319,2025-02-28,4,1750,Flour (kg),14.0,59.02
320,2025-03-24,3,1045,Cooking Oil (L),14.6,50.04
321,2025-03-22,3,520,Cooking Oil (L),10.0,53.13
322,2024-10-03,6,462,Hygiene Kit,1.0,3.98
323,2025-06-11,1,412,Cooking Oil (L),7.1,36.83
324,2025-05-15,4,1486,Water (L),1.3,6.08
325,2025-07-17,2,429,Cooking Oil (L),4.9,21.25
326,2025-08-20,3,1601,Flour (kg),14.1,83.66
327,2025-05-17,5,52,Cooking Oil (L),12.3,54.43
328,2025-07-05,6,1208,Cooking Oil (L),6.9,37.81
329,2024-10-20,6,1518,Cooking Oil (L),3.3,21.52
330,2025-04-07,5,1439,Flour (kg),5.3,25.4
331,2025-07-01,6,625,Hygiene Kit,3.0,19.71
332,2024-12-11,1,964,Flour (kg),14.7,66.86
333,2024-10-28,2,919,Pulses (kg),2.9,16.22
334,2025-04-17,4,1236,Flour (kg),0.6,2.31
335,2025-06-20,4,487,Water (L),1.7,11.76
336,2025-05-10,2,766,Medicine Pack,6.0,21.88
337,2025-07-21,5,816,Medicine Pack,2.0,12.35
338,2024-11-25,5,1332,Cooking Oil (L),6.2,37.38
339,2024-10-23,4,1337,Rice (kg),9.0,35.26
340,2024-09-17,1,1413,Rice (kg),17.4,62.92
341,2024-10-13,5,1474,Medicine Pack,3.0,10.89
342,2025-05-14,1,1219,Pulses (kg),1.6,8.95
343,2025-08-30,3,19,Cooking Oil (L),2.9,16.52
344,2025-04-13,6,175,Cooking Oil (L),1.0,6.54
345,2025-07-24,6,125,Rice (kg),6.2,33.09
346,2024-11-29,5,97,Rice (kg),5.6,32.25
347,2025-07-07,6,1392,Cooking Oil (L),2.7,10.54
348,2025-06-13,1,1886,Pulses (kg),2.1,13.75
349,2025-08-18,2,257,Medicine Pack,6.0,18.35
350,2024-12-19,4,1623,Cooking Oil (L),5.2,24.46
351,2025-03-08,1,4,Flour (kg),5.7,21.85
352,2025-02-25,2,995,Water (L),4.4,21.13
353,2025-02-13,4,1498,Rice (kg),7.9,45.87
354,2024-12-06,6,1878,Cooking Oil (L),0.9,6.07
355,2025-03-30,5,1195,Hygiene Kit,8.0,25.08
356,2024-11-05,5,1639,Water (L),8.2,38.79
357,2025-02-09,5,1519,Flour (kg),3.6,12.08
358,2025-04-08,3,1002,Water (L),5.9,20.24
359,2024-10-09,3,612,Water (L),6.0,23.3
360,2024-12-05,4,432,Medicine Pack,2.0,8.3
361,2024-10-27,3,527,Flour (kg),2.5,10.71
362,2025-03-26,1,30,Pulses (kg),7.5,43.99
363,2025-03-09,6,592,Hygiene Kit,4.0,18.43
364,2025-03-14,6,165,Medicine Pack,3.0,13.52
365,2025-05-13,2,357,Pulses (kg),8.7,45.37
366,2025-03-24,6,1799,Pulses (kg),7.1,29.65
367,2025-03-27,6,59,Hygiene Kit,1.0,5.79
368,2025-05-04,1,1226,Pulses (kg),8.7,41.08
369,2025-04-21,5,1909,Rice (kg),2.3,15.44
370,2024-11-05,6,1533,Flour (kg),8.5,37.07
371,2025-03-22,4,1209,Water (L),1.9,9.59
372,2024-12-24,6,316,Pulses (kg),2.9,13.96
373,2025-01-04,2,748,Flour (kg),3.0,11.35
374,2025-03-13,3,1215,Pulses (kg),4.5,13.84
375,2024-11-20,2,114,Rice (kg),3.0,11.06
376,2025-04-24,5,1520,Rice (kg),4.2,20.48
377,2024-12-09,1,484,Flour (kg),7.3,25.77
378,2025-03-01,3,905,Pulses (kg),11.4,50.69
379,2025-06-29,6,1079,Rice (kg),2.3,7.87
380,2025-08-18,4,724,Rice (kg),13.0,54.13
381,2025-08-24,2,635,Pulses (kg),3.6,18.02
382,2025-06-04,3,1360,Water (L),3.9,25.61
383,2024-09-16,6,742,Rice (kg),0.4,2.41
384,2025-07-27,1,1929,Rice (kg),6.4,24.05
385,2024-12-29,3,1858,Rice (kg),1.9,12.86
386,2025-08-28,5,205,Medicine Pack,4.0,26.45
387,2025-02-15,3,915,Rice (kg),5.4,34.83
388,2024-10-02,1,390,Cooking Oil (L),13.7,82.17
389,2025-04-26,5,1184,Rice (kg),2.8,18.16
390,2024-10-25,3,1038,Rice (kg),6.1,22.12
391,2024-09-24,5,900,Flour (kg),2.1,11.28
392,2025-01-13,1,1566,Hygiene Kit,5.0,22.22
393,2025-01-30,1,401,Rice (kg),2.9,18.98
394,2024-12-23,3,1232,Flour (kg),10.4,55.96
395,2025-01-29,4,173,Flour (kg),8.9,29.54
396,2025-02-10,2,855,Flour (kg),5.3,29.41
397,2024-12-21,5,927,Water (L),4.5,28.75
398,2025-06-04,1,728,Medicine Pack,16.0,81.16
399,2024-10-18,2,1551,Cooking Oil (L),3.7,20.9
400,2025-04-08,6,320,Water (L),4.0,17.55
401,2024-11-24,3,1080,Rice (kg),14.0,62.75
402,2025-05-05,2,74,Flour (kg),10.8,43.84
403,2024-10-14,1,620,Pulses (kg),2.9,8.94
404,2024-10-23,5,1784,Water (L),5.0,31.91
405,2025-04-12,3,1647,Cooking Oil (L),5.0,26.5
406,2025-02-05,4,257,Flour (kg),10.5,48.01
407,2025-07-02,4,813,Flour (kg),8.5,34.89
408,2025-02-27,4,280,Flour (kg),0.8,5.1
409,2025-06-14,2,1481,Pulses (kg),6.7,21.71
410,2024-12-27,3,1133,Rice (kg),3.1,14.4
411,2025-01-20,6,1874,Medicine Pack,7.0,48.42
412,2025-02-19,4,1198,Cooking Oil (L),4.1,22.83
413,2025-04-17,3,65,Water (L),6.6,39.22
414,2025-02-09,5,1252,Medicine Pack,4.0,22.56
415,2025-02-12,4,1454,Medicine Pack,5.0,28.65
416,2024-11-18,3,1476,Medicine Pack,4.0,15.94
417,2025-05-08,3,205,Rice (kg),16.8,78.07
418,2025-07-31,3,1003,Rice (kg),4.9,32.43
419,2024-11-07,3,1860,Rice (kg),1.4,7.98
420,2025-04-06,5,592,Flour (kg),14.9,98.89
421,2024-10-11,3,534,Pulses (kg),9.6,58.58
422,2025-06-06,6,882,Flour (kg),9.8,54.84
423,2025-01-04,5,1277,Flour (kg),3.9,15.03
424,2025-02-05,3,531,Flour (kg),14.8,67.98
425,2024-12-09,1,1357,Flour (kg),8.5,37.11
426,2024-11-03,4,636,Cooking Oil (L),9.1,43.12
427,2024-10-07,4,625,Rice (kg),8.6,59.6
428,2025-08-03,6,1498,Rice (kg),2.2,15.19
429,2025-08-16,5,1674,Water (L),9.0,54.49
430,2025-05-14,3,248,Rice (kg),12.1,38.75
431,2024-09-21,1,339,Cooking Oil (L),5.5,23.66
432,2025-01-09,5,796,Hygiene Kit,8.0,34.58
433,2025-03-02,5,424,Flour (kg),9.9,32.5
434,2024-12-14,4,1774,Rice (kg),6.6,26.67
435,2025-08-03,3,14,Pulses (kg),4.7,27.1
436,2024-11-10,2,1602,Hygiene Kit,9.0,35.41
437,2025-04-11,6,143,Hygiene Kit,8.0,48.12
438,2025-01-13,4,1727,Pulses (kg),4.5,16.71
439,2025-04-08,5,331,Rice (kg),10.0,51.14
440,2025-05-04,1,1458,Medicine Pack,5.0,19.81
441,2025-06-20,6,164,Medicine Pack,10.0,36.2
442,2024-11-18,6,1330,Rice (kg),2.6,10.91
443,2025-04-20,2,849,Water (L),1.3,7.7
444,2025-08-31,2,1349,Hygiene Kit,10.0,67.4
445,2025-02-07,6,598,Hygiene Kit,4.0,20.61
446,2025-02-03,1,951,Hygiene Kit,11.0,66.47
447,2025-03-12,3,1678,Medicine Pack,4.0,22.13
448,2025-07-04,2,708,Hygiene Kit,6.0,24.24
449,2025-06-29,5,341,Hygiene Kit,1.0,4.93
450,2025-05-07,1,1051,Pulses (kg),10.4,47.52
451,2024-10-06,2,1145,Hygiene Kit,4.0,14.82
452,2025-06-25,4,1077,Rice (kg),3.2,12.1
453,2025-08-13,5,1560,Rice (kg),2.7,13.76
454,2024-12-31,4,1300,Cooking Oil (L),7.6,31.15
455,2025-03-26,1,1404,Rice (kg),5.8,21.46
456,2025-05-20,2,1444,Pulses (kg),12.4,68.46
457,2025-04-29,3,542,Flour (kg),7.6,44.79
458,2025-05-28,4,1766,Pulses (kg),1.4,7.79
459,2025-01-16,5,819,Cooking Oil (L),12.9,56.39
460,2025-01-20,4,830,Pulses (kg),14.5,81.67
461,2025-01-02,2,1306,Flour (kg),6.1,37.28
462,2025-05-23,1,1541,Cooking Oil (L),7.8,27.04
463,2025-02-25,1,627,Flour (kg),6.3,23.93
464,2025-08-05,1,670,Rice (kg),2.4,8.72
465,2025-05-01,5,1622,Flour (kg),2.7,16.24
466,2024-11-21,1,136,Flour (kg),14.4,75.8
467,2025-05-09,5,1083,Flour (kg),4.0,27.37
468,2025-07-20,2,347,Rice (kg),6.1,39.67
469,2025-03-21,3,6,Hygiene Kit,8.0,38.85
470,2025-02-27,4,802,Cooking Oil (L),1.5,8.23
471,2025-06-16,2,601,Medicine Pack,1.0,4.53
472,2025-03-31,6,481,Rice (kg),4.2,16.86
473,2025-06-02,2,1391,Hygiene Kit,7.0,38.07
474,2025-01-16,1,31,Flour (kg),6.1,25.12
475,2024-10-08,2,1300,Cooking Oil (L),5.5,27.78
476,2025-07-04,1,84,Flour (kg),2.0,13.74
477,2025-03-12,2,1725,Cooking Oil (L),4.2,19.58
478,2025-04-13,1,666,Flour (kg),6.6,38.13
