donor_id,donor_name,donor_type,city
163,Donor_163,Individual,Islamabad
164,Donor_164,Individual,Islamabad
165,Donor_165,Corporate,Karachi
166,Donor_166,International Org,Islamabad
167,Donor_167,Individual,Lahore
168,Donor_168,Local Org,Karachi
169,Donor_169,International Org,Peshawar
170,Donor_170,Individual,Karachi
171,Donor_171,Individual,Karachi
172,Donor_172,Individual,Islamabad
173,Donor_173,Individual,Karachi
174,Donor_174,International Org,Lahore
175,Donor_175,Individual,Karachi
176,Donor_176,Individual,Peshawar
177,Donor_177,Individual,Peshawar
178,Donor_178,Individual,Islamabad
179,Donor_179,Individual,Karachi
180,Donor_180,Individual,Peshawar
181,Donor_181,Local Org,Karachi
182,Donor_182,Individual,Karachi
183,Donor_183,Individual,Peshawar
184,Donor_184,Local Org,Karachi
185,Donor_185,Individual,Islamabad
186,Donor_186,Individual,Islamabad
187,Donor_187,Individual,Peshawar
188,Donor_188,Individual,Lahore
189,Donor_189,Individual,Lahore
190,Donor_190,Individual,Karachi
191,Donor_191,Individual,Islamabad
192,Donor_192,Corporate,Peshawar
193,Donor_193,Individual,Islamabad
194,Donor_194,Individual,Lahore
195,Donor_195,Local Org,Lahore
196,Donor_196,International Org,Karachi
197,Donor_197,Corporate,Peshawar
198,Donor_198,Individual,Karachi
199,Donor_199,Individual,Islamabad
200,Donor_200,Individual,Islamabad
201,Donor_201,International Org,Lahore
202,Donor_202,Individual,Karachi
203,Donor_203,International Org,Islamabad
204,Donor_204,Local Org,Islamabad
205,Donor_205,Corporate,Islamabad
206,Donor_206,Corporate,Peshawar
207,Donor_207,Individual,Lahore
208,Donor_208,Individual,Karachi
209,Donor_209,Individual,Islamabad
210,Donor_210,Individual,Peshawar
211,Donor_211,Individual,Islamabad
212,Donor_212,Individual,Islamabad
213,Donor_213,International Org,Lahore
214,Donor_214,Local Org,Peshawar
215,Donor_215,International Org,Islamabad
216,Donor_216,Individual,Lahore
217,Donor_217,Individual,Peshawar
218,Donor_218,Individual,Islamabad
219,Donor_219,Individual,Karachi
220,Donor_220,Corporate,Lahore
221,Donor_221,Individual,Islamabad
222,Donor_222,Individual,Islamabad
223,Donor_223,Individual,Peshawar
224,Donor_224,Individual,Karachi
225,Donor_225,International Org,Lahore
226,Donor_226,Local Org,Peshawar
227,Donor_227,Local Org,Islamabad
228,Donor_228,Individual,Lahore
229,Donor_229,International Org,Islamabad
230,Donor_230,Individual,Islamabad
231,Donor_231,Corporate,Karachi
232,Donor_232,International Org,Islamabad
233,Donor_233,Individual,Lahore
234,Donor_234,Local Org,Islamabad
235,Donor_235,Individual,Lahore
236,Donor_236,Individual,Karachi
237,Donor_237,Individual,Islamabad
238,Donor_238,International Org,Peshawar
239,Donor_239,Corporate,Lahore
240,Donor_240,Corporate,Islamabad
241,Donor_241,Individual,Peshawar
242,Donor_242,Individual,Lahore
243,Donor_243,Corporate,Peshawar
244,Donor_244,Individual,Islamabad
245,Donor_245,Individual,Karachi
246,Donor_246,Individual,Karachi
247,Donor_247,Individual,Peshawar
248,Donor_248,Individual,Islamabad
249,Donor_249,Individual,Islamabad
250,Donor_250,International Org,Lahore
